"품목별","항목","단위","2000. 01 월","2000. 02 월","2000. 03 월","2000. 04 월","2000. 05 월","2000. 06 월","2000. 07 월","2000. 08 월","2000. 09 월","2000. 10 월","2000. 11 월","2000. 12 월","2001. 01 월","2001. 02 월","2001. 03 월","2001. 04 월","2001. 05 월","2001. 06 월","2001. 07 월","2001. 08 월","2001. 09 월","2001. 10 월","2001. 11 월","2001. 12 월","2002. 01 월","2002. 02 월","2002. 03 월","2002. 04 월","2002. 05 월","2002. 06 월","2002. 07 월","2002. 08 월","2002. 09 월","2002. 10 월","2002. 11 월","2002. 12 월","2003. 01 월","2003. 02 월","2003. 03 월","2003. 04 월","2003. 05 월","2003. 06 월","2003. 07 월","2003. 08 월","2003. 09 월","2003. 10 월","2003. 11 월","2003. 12 월","2004. 01 월","2004. 02 월","2004. 03 월","2004. 04 월","2004. 05 월","2004. 06 월","2004. 07 월","2004. 08 월","2004. 09 월","2004. 10 월","2004. 11 월","2004. 12 월","2005. 01 월","2005. 02 월","2005. 03 월","2005. 04 월","2005. 05 월","2005. 06 월","2005. 07 월","2005. 08 월","2005. 09 월","2005. 10 월","2005. 11 월","2005. 12 월","2006. 01 월","2006. 02 월","2006. 03 월","2006. 04 월","2006. 05 월","2006. 06 월","2006. 07 월","2006. 08 월","2006. 09 월","2006. 10 월","2006. 11 월","2006. 12 월","2007. 01 월","2007. 02 월","2007. 03 월","2007. 04 월","2007. 05 월","2007. 06 월","2007. 07 월","2007. 08 월","2007. 09 월","2007. 10 월","2007. 11 월","2007. 12 월","2008. 01 월","2008. 02 월","2008. 03 월","2008. 04 월","2008. 05 월","2008. 06 월","2008. 07 월","2008. 08 월","2008. 09 월","2008. 10 월","2008. 11 월","2008. 12 월","2009. 01 월","2009. 02 월","2009. 03 월","2009. 04 월","2009. 05 월","2009. 06 월","2009. 07 월","2009. 08 월","2009. 09 월","2009. 10 월","2009. 11 월","2009. 12 월","2010. 01 월","2010. 02 월","2010. 03 월","2010. 04 월","2010. 05 월","2010. 06 월","2010. 07 월","2010. 08 월","2010. 09 월","2010. 10 월","2010. 11 월","2010. 12 월","2011. 01 월","2011. 02 월","2011. 03 월","2011. 04 월","2011. 05 월","2011. 06 월","2011. 07 월","2011. 08 월","2011. 09 월","2011. 10 월","2011. 11 월","2011. 12 월","2012. 01 월","2012. 02 월","2012. 03 월","2012. 04 월","2012. 05 월","2012. 06 월","2012. 07 월","2012. 08 월","2012. 09 월","2012. 10 월","2012. 11 월","2012. 12 월","2013. 01 월","2013. 02 월","2013. 03 월","2013. 04 월","2013. 05 월","2013. 06 월","2013. 07 월","2013. 08 월","2013. 09 월","2013. 10 월","2013. 11 월","2013. 12 월","2014. 01 월","2014. 02 월","2014. 03 월","2014. 04 월","2014. 05 월","2014. 06 월","2014. 07 월","2014. 08 월","2014. 09 월","2014. 10 월","2014. 11 월","2014. 12 월","2015. 01 월","2015. 02 월","2015. 03 월","2015. 04 월","2015. 05 월","2015. 06 월","2015. 07 월","2015. 08 월","2015. 09 월","2015. 10 월","2015. 11 월","2015. 12 월","2016. 01 월","2016. 02 월","2016. 03 월","2016. 04 월","2016. 05 월","2016. 06 월","2016. 07 월","2016. 08 월","2016. 09 월","2016. 10 월","2016. 11 월","2016. 12 월","2017. 01 월","2017. 02 월","2017. 03 월","2017. 04 월","2017. 05 월","2017. 06 월","2017. 07 월","2017. 08 월","2017. 09 월","2017. 10 월","2017. 11 월","2017. 12 월","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월",
"중분류 03의 동물을 제외한 산 동물","수출액","천달러","93","158","172","135","185","109","162","100","105","96","95","157","28","44","94","255","153","112","216","217","122","39","105","89","133","104","121","192","59","59","40","68","54","121","43","18","10","39","131","123","78","39","155","65","110","74","113","82","29","19","27","120","69","44","53","49","74","44","65","252","38","427","110","867","99","89","76","52","345","407","132","757","84","64","58","113","146","60","76","128","55","36","32","25","37","37","46","81","67","62","72","71","92","365","161","142","89","195","195","149","80","46","234","502","521","122","37","56","867","77","46","82","104","851","102","212","178","115","131","73","75","48","125","219","144","176","159","156","212","215","187","83","103","95","106","147","142","136","123","187","199","116","290","76","78","83","109","134","186","147","132","158","178","143","109","83","154","101","106","173","240","149","123","85","82","193","158","74","73","68","64","86","322","76","557","79","88","94","64","248","79","71","80","86","114","66","72","75","91","83","87","225","68","83","290","242","98","124","187","101","119","102","128","124","118","178","165","161","158","175","228","149","209","130","319","151","353","124","188","411","148","340","177","253","137","382","140","536","155","231",
"중분류 03의 동물을 제외한 산 동물","수입액","천달러","743","1977","1434","1850","915","1905","1144","2437","2385","3239","1665","2943","1225","1168","1807","867","1839","1211","2684","2265","1863","3075","2052","3338","2214","1459","2306","1900","2824","2176","3730","2062","2668","4353","3730","4499","1706","2173","2713","3010","2176","3589","3000","1911","2416","2660","1738","4197","1280","1704","2889","2255","2342","3910","3983","2750","1629","2130","6197","4127","1711","1362","4915","1692","3877","5285","3669","2880","2376","3625","1457","5990","8463","1861","1453","2847","2705","3516","5479","2574","3439","3550","7977","10743","3017","2324","1798","2626","2491","5274","5925","3280","3612","8768","4238","8743","3212","2101","3129","3529","3902","3038","6311","2756","2495","4507","2703","7566","2852","1185","1651","1540","4389","1805","6187","2712","3304","2989","2832","7350","5636","1941","3063","2439","5560","4411","6203","2785","3278","6023","3283","6189","2252","2260","3175","4345","5006","10225","12830","9594","6191","6338","6093","7738","4888","5873","5635","6221","5285","6603","7311","4727","4603","4516","3655","6457","5653","3361","4814","2788","5313","4272","4230","5287","5147","4421","6388","6160","5674","4294","3525","5254","7902","4464","10665","4184","4975","5934","7428","7463","4002","2332","3239","6448","4688","8230","6997","4705","4096","4838","5345","8402","4732","5253","8134","3208","5088","9106","6041","6147","4846","4743","5307","9338","8077","5049","6405","5034","3762","11854","9623","7097","11556","6942","6109","8759","2802","3095","5564","5207","8055","7351","8068","4044","6509","6579","7625","8744","2554","3412",
"고기 및 고기조제품","수출액","천달러","27458","22365","19915","808","911","736","720","913","2207","2242","2577","4186","2494","5092","6166","5540","2535","2653","6300","5743","2498","5150","5097","3327","3182","3161","3207","3472","1468","5099","1117","805","974","2302","2263","5066","1277","1808","2614","3660","2371","3042","3525","3211","3575","4250","7032","4898","3820","3417","1448","1242","1377","3752","1705","2462","2553","1455","3294","7916","1489","763","1049","1492","2748","5187","12277","4952","1530","6325","6919","3526","1833","1436","4168","4299","2929","2356","3213","3893","4885","3642","1637","3380","1720","1327","1253","1187","1661","2097","1308","1678","1562","5808","1972","16974","2075","1731","2330","1683","1761","1750","2354","2088","6115","2746","7382","2992","2407","2420","2817","3142","2466","3569","2663","3453","4165","3607","3748","6532","3931","2041","2951","2566","3160","3074","2558","4934","3073","4038","4790","7507","3232","2786","5070","5108","4061","4018","3919","6090","8088","6013","6225","7087","3237","5711","4157","4596","5581","5103","3744","3612","4368","4006","5987","6859","6079","5212","6823","4210","4389","6514","5948","4625","4927","5816","5191","6106","4287","2011","3706","6272","5901","4727","4940","5509","12773","8158","6576","8538","9300","3961","12592","7147","7560","6903","7549","5785","6366","7448","9141","10399","5086","5951","8218","6529","5633","5576","5432","5778","7084","8393","8312","8457","2697","2185","2713","2082","2162","3293","2594","2546","4014","2473","5565","5012","5090","3870","5023","5940","6002","6825","4867","5477","4875","6257","8161","6583","7228","7082",
"고기 및 고기조제품","수입액","천달러","87474","71767","91598","119228","99711","109303","89339","119669","101496","93243","92721","87724","88355","55574","72293","57276","58671","52770","65057","76572","82005","79570","91084","96896","120496","87093","105370","101897","105314","93914","117972","132642","106853","127171","100222","109590","142468","111468","116235","107332","108886","123453","138390","143786","126312","138631","132874","123977","71405","55937","75714","82804","89823","91665","89137","91213","89269","99053","102789","104231","126836","88123","130858","125985","124488","130059","128573","141288","123423","127165","125090","137831","129490","117297","145669","130174","146949","157280","145444","162791","164629","156412","181797","183120","204927","153247","187232","169045","177837","157479","178443","191802","162508","193136","171837","174326","214111","151565","191462","183485","182929","167004","182849","174655","188146","191159","159326","155976","149194","129223","137311","143925","134231","140891","143375","145884","160695","152545","148039","176588","168189","134979","178135","162287","187708","185456","180076","201838","163400","195515","196310","223138","266937","191702","291804","369116","352789","333035","391256","322705","307164","257569","270828","255544","276000","252215","316378","274402","256739","224476","231083","249545","231280","238994","240369","209959","316435","207554","218415","235797","229578","208800","230681","234399","223624","264540","232946","236701","301368","235154","280514","295179","261004","261466","354285","301431","309345","312425","315006","305584","396344","273321","341983","310237","322981","307435","375271","359998","313443","305198","289272","249303","423733","286066","298516","305643","352381","310960","322923","381493","345859","358972","344562","318658","480113","352159","392209","385217","388646","348814","357592","407520","441693","337701","377862","318399","543172","379591","452331","420524","471640","465968","433728","487439","436221","493928","432891","337904","678725","373373",
"낙농품 및 새알","수출액","천달러","662","517","557","846","973","1013","682","499","417","547","422","387","468","715","592","839","766","969","619","570","673","410","618","498","548","704","871","854","1086","843","1140","717","655","555","790","647","659","754","1329","2264","1606","1371","1582","980","1191","1547","1294","775","672","786","1270","1360","1367","957","941","1003","967","809","1153","926","921","1088","1307","1380","1503","1697","1901","1016","1299","1143","1412","1841","1902","1529","1946","1742","1581","1998","2047","1540","1900","1610","1801","1719","2185","2006","1830","1925","2527","2399","1981","2045","1840","2314","1482","2504","2802","1466","3074","3225","2619","2085","2193","1969","2717","3268","2936","1964","3637","3232","2880","3251","2279","3961","4420","3236","3758","3735","3183","3713","3204","3830","4717","4289","3556","3820","4051","2409","4710","3543","3141","3846","2748","3467","4438","4035","3461","3956","3806","4141","3400","4174","4365","4586","4985","4848","5564","6146","7609","7038","7997","6360","5865","5595","5075","5249","4942","5630","7527","7648","9058","7827","6973","7224","5846","7054","6858","3931","5292","6797","9456","9218","8079","6864","7741","6898","6706","8392","7694","5754","5817","6054","7944","9056","8434","9537","7753","5930","6867","6832","6379","7997","6101","6993","8457","9446","10352","9003","8913","7210","6641","6679","6536","6901","6178","7831","9494","7490","9312","9570","7865","8100","7700","7133","6125","5918","8326","7042","8668","10093","10631","10405","9663","8040","7511","7357","7391","5893","8060","7409",
"낙농품 및 새알","수입액","천달러","11657","10661","15647","10309","11894","12292","13654","13482","12473","11584","11801","12706","13671","10889","13036","11541","14190","11773","15896","15549","15091","16995","16040","19378","16659","12159","15112","14164","14144","13391","14546","13441","13587","12785","10104","14767","12345","13977","14417","13472","12936","11736","13720","11842","12606","12205","14041","20253","16491","16997","17759","17908","17302","21142","20793","18881","21395","22929","20143","26225","22009","21505","24244","23672","23192","24059","24828","24171","28006","21435","22178","26742","27731","21756","21895","19686","25302","25326","24027","25309","23393","25121","26240","32322","30214","26499","33217","31694","37285","35147","31816","30939","24197","38039","32421","34434","40892","32684","30633","37784","34904","36630","40372","32025","30222","36766","30584","37153","30064","28649","26984","37574","24058","27693","27701","25991","26544","25625","29295","36119","34346","29949","36711","34135","36755","43504","38755","41706","37164","39946","48632","50390","46006","38454","51483","62772","81154","72986","68801","66848","70581","54497","68579","101728","47338","45686","52844","57264","57740","76653","56399","53216","46667","49439","55573","60090","53487","51265","62003","56848","67977","66210","65488","65981","64365","63010","59632","65893","63447","64080","65831","81193","86718","68124","85945","75772","72189","74119","69077","72352","72751","63571","75472","72278","65675","61872","71991","55370","55522","55286","53383","67022","52396","62305","56664","57158","65690","57732","63915","59550","53386","59217","66667","69612","65542","77845","82492","78706","87268","83508","82247","87444","82378","62806","74037","72508","91372","77687","94444","81090","84990","77218","89367","84100","62523","78199","70483","66151","88422","82167",
"물고기(해서동물 제외),갑각류, 연체동물 및 수생 무척추동물과 동 조제품","수출액","천달러","117631","92744","128521","119017","127676","116829","88385","102075","98460","108958","128840","139283","87202","108836","108415","102966","92156","86398","92038","61677","77683","81156","136483","104658","75651","64389","80428","83635","90403","73563","93376","67464","80677","102301","109475","110268","76896","67865","84588","97371","79766","76767","78385","65105","65014","101035","79265","110684","65253","75793","100486","108866","80819","90431","86323","76398","75036","124018","117351","120315","80887","61994","89893","93295","75227","84492","84850","76175","76493","80870","107620","109997","58524","55006","78675","75875","70667","83303","76550","92875","74220","68021","90511","92670","72168","62304","74271","70860","66242","80717","84625","94695","72201","90666","80958","115543","102795","81742","87362","102826","97194","78582","90467","64986","80287","113342","101892","99897","94737","86263","93099","93271","87545","85871","80009","67911","75535","98381","170318","120126","101615","85077","107567","120279","106428","114501","127048","91858","105710","135262","114068","141858","101610","101479","144717","157481","144901","159916","152095","126349","146430","148061","150736","188356","120276","155190","172581","142607","190778","198513","173546","135629","158887","185438","178042","160879","170917","118041","142325","126052","146315","128520","161988","122647","135434","193974","150711","151904","130976","122821","135724","127561","134207","153238","134667","140762","133506","159215","121995","147179","113422","90933","122658","149635","125773","137336","122902","102082","134082","123294","118759","139751","94768","93107","138011","124884","154527","148827","151576","133129","148332","148014","155724","145974","99218","116299","129011","133637","161329","144988","136026","149779","144367","130093","174969","151567","153217","111647","138010","136704","144362","135768","158523","135197","112763","151972","172315","144046","162512","118266",
"물고기(해서동물 제외),갑각류, 연체동물 및 수생 무척추동물과 동 조제품","수입액","천달러","128359","92377","100147","113406","126157","102562","103121","116983","91190","116614","121941","124739","119153","99171","130495","120450","149509","134849","124507","129851","120003","135639","156250","165366","193131","128856","126531","145154","157265","132189","141218","146811","138668","165448","182838","161731","175053","130501","162366","162261","145752","132250","143550","141078","150081","185776","173763","197901","184492","153990","181235","171599","172704","151162","155895","161306","183783","224197","233927","214932","224021","152486","201013","205519","199872","177187","153663","175664","179472","199793","218352","213893","226239","178725","221873","213485","216452","200102","178528","206322","250066","228154","274590","269922","288876","220349","230815","241890","224399","205959","193360","222932","194099","278592","288864","309099","306539","192096","241737","258483","249227","226147","230735","261018","229137","209951","185288","209002","215961","155535","189783","222157","215609","198367","193324","195793","236273","212080","231471","289858","260853","210343","282923","278516","237375","206570","192170","223689","234458","261190","297851","340533","317087","267587","347289","350101","318039","284075","249048","292224","304265","285126","357351","365812","290827","291051","328103","321517","310368","263968","278886","271962","291180","314377","339180","344057","339854","235080","235477","337529","300735","253351","271476","283454","268089","340550","327557","371640","362595","269304","324134","358306","349197","304317","329927","337091","343900","382441","374678","425063","399807","322955","344488","362655","329718","332921","329849","325341","336442","360893","372965","422881","376576","342101","369025","364573","351873","339727","339078","410484","337123","381919","416280","473656","428089","341767","436683","400079","400720","379802","368578","433307","463538","371342","446607","514000","565554","400801","459986","505484","490806","437073","428997","422593","439787","554652","544118","544116","577139","360829",
"곡식 및 곡식가공품","수출액","천달러","9439","8550","11020","9770","9886","11601","10708","10508","10984","10323","11330","9900","8526","10162","11999","11056","10908","10885","10076","11593","12083","11197","12484","10767","11324","10329","11557","11943","12841","12460","10088","10706","10367","11395","12960","10546","10650","9787","11583","13669","11863","12076","12442","10843","11926","15685","13000","13731","11072","12985","15602","16225","13647","14580","14966","12718","13674","15819","16453","16937","15406","12204","16420","18111","16242","15367","14461","16146","16013","16645","15697","17758","15804","15106","17943","16932","16874","18314","16722","18090","20914","15086","18893","16675","17716","16425","17708","18039","18617","16930","18197","19135","17580","22087","22414","20625","21379","17683","21058","24002","21508","19333","22967","17615","19103","22913","19784","18917","16315","19354","17672","21925","20131","20562","22334","19557","22219","24257","31673","25520","21830","21652","23537","25536","23621","23805","23432","23829","22707","28943","29205","29342","26960","22278","30606","34735","32896","33541","31117","29901","31072","30875","32281","31464","25906","31353","34064","35042","31087","29947","32726","31778","32348","36074","38758","33060","37120","26781","33349","36803","32831","33598","31599","29829","32366","38512","37974","35653","34418","32943","38502","42558","36927","38517","38238","37689","38092","45020","41089","43285","38048","30705","41567","41059","33273","37577","35574","34845","37602","41232","39057","41303","33071","30814","39521","36346","35466","36528","33827","37228","38179","38843","42434","39735","37513","35774","34360","31574","32267","32249","29737","31499","40616","30357","40857","37248","43635","37327","39267","35732","56247","35781","34609","34679","34181","41363","40291","36592","36761","31559",
"곡식 및 곡식가공품","수입액","천달러","146444","113995","152772","118618","151144","126013","123037","136003","118831","152269","138450","144653","119367","122373","145582","126209","135813","128733","144301","142229","142143","138853","126739","176843","139350","142892","149841","130444","145496","125454","143422","122607","144155","162018","151163","200117","151581","140719","162192","140401","165658","143881","150594","143440","140752","175395","142219","241665","198648","127172","189517","226015","204166","199328","201933","212511","195944","225147","171637","245043","197150","171196","215302","164543","196190","175646","170113","171184","181519","164549","167722","217107","135969","170859","189046","217135","204988","187781","167833","185457","211715","192005","199079","240559","268268","255943","264339","212324","282369","261391","273952","270766","217349","310622","313503","242322","377813","452230","378467","503619","392736","407944","410931","348230","328923","375133","266534","518749","311369","251081","224510","291734","263234","338114","211155","233227","289776","268385","238159","313939","272958","251597","350378","314005","387653","313853","331252","274323","306522","320454","288917","325769","440398","328570","353046","440258","511492","496910","372952","499635","387483","419735","474199","405085","497703","377245","369872","418934","449846","424261","442355","341069","465545","414955","432052","518151","504485","438974","462575","474110","468715","450263","440585","370890","359606","493903","412375","516523","395441","416190","317764","395151","362722","421739","362021","350695","460280","516687","394695","467897","423271","283366","399981","360111","367794","372538","373580","326098","373159","351602","360018","355771","279608","277688","338792","327807","328440","325784","326958","278988","326300","351129","359089","325951","297666","301532","361542","300044","343847","354347","308429","265496","335891","269061","349972","301379","390672","349563","315655","326593","360590","365766","406454","305676","273372","431215","334839","349772","444996","267141",
