date,PM2.5
2014-05-16,69.9
2014-05-17,62.5
2014-05-18,71.1
2014-05-19,115
2014-05-20,151.8
2014-05-21,89.7
2014-05-22,203.8
2014-05-23,103.9
2014-05-24,71.1
2014-05-25,119.8
2014-05-26,23.2
2014-05-27,65.3
2014-05-28,29.7
2014-05-29,51.9
2014-05-30,83.4
2014-05-31,107.2
2014-06-01,112.5
2014-06-02,48.2
2014-06-03,37.5
2014-06-04,62.3
2014-06-05,65.5
2014-06-06,77.6
2014-06-07,14.2
2014-06-08,40.5
2014-06-09,31.9
2014-06-10,60.1
2014-06-11,68.9
2014-06-12,37
2014-06-13,57.1
2014-06-14,36.2
2014-06-15,95.9
2014-06-16,120.2
2014-06-17,168.5
2014-06-18,96.5
2014-06-19,125.6
2014-06-20,88
2014-06-21,77.6
2014-06-22,56.5
2014-06-23,39.5
2014-06-24,49.6
2014-06-25,104.7
2014-06-26,145.2
2014-06-27,67
2014-06-28,22.9
2014-06-29,42.2
2014-06-30,70
2014-07-01,104.8
2014-07-02,128.6
2014-07-03,186.5
2014-07-04,172
2014-07-05,138.4
2014-07-06,181.9
2014-07-07,167.9
2014-07-08,180.1
2014-07-09,29
2014-07-10,24.6
2014-07-11,46.9
2014-07-12,28.7
2014-07-13,24.7
2014-07-14,28.5
2014-07-15,43.4
2014-07-16,124.8
2014-07-17,115.8
2014-07-18,152.5
2014-07-19,123
2014-07-20,72.2
2014-07-21,71.7
2014-07-22,14.6
2014-07-23,22.6
2014-07-24,57.1
2014-07-25,66.6
2014-07-26,96.2
2014-07-27,116.8
2014-07-28,136.4
2014-07-29,170.1
2014-07-30,115.1
2014-07-31,167.4
2014-08-01,145
2014-08-02,119.8
2014-08-03,131.8
2014-08-04,78.9
2014-08-05,22.9
2014-08-06,39.4
2014-08-07,55.9
2014-08-08,68.5
2014-08-09,103.5
2014-08-10,51.7
2014-08-11,51.5
2014-08-12,25.3
2014-08-13,28.5
2014-08-14,31
2014-08-15,47.4
2014-08-16,42.4
2014-08-17,103.8
2014-08-18,53.9
2014-08-19,86.5
2014-08-20,105.8
2014-08-21,117.4
2014-08-22,118.6
2014-08-23,96.1
2014-08-24,93.8
2014-08-25,20.8
2014-08-26,27.8
2014-08-27,38.6
2014-08-28,78.1
2014-08-29,82.5
2014-08-30,111
2014-08-31,114.1
2014-09-01,95
2014-09-02,93
2014-09-03,15.8
2014-09-04,39
2014-09-05,83.9
2014-09-06,120.7
2014-09-07,167.6
2014-09-08,114.8
2014-09-09,31
2014-09-10,69
2014-09-11,73.2
2014-09-12,85.4
2014-09-13,74.1
2014-09-14,75.2
2014-09-15,31.8
2014-09-16,34
2014-09-17,62.4
2014-09-18,66
2014-09-19,94.8
2014-09-20,103.1
