date,평균기온,최저기온,최고기온,강수 계속시간,일강수량,최대 순간 풍속,최대 순간 풍속 풍향,최대 풍속,최대 풍속 풍향,평균 풍속,풍정합,평균 이슬점온도,최소 상대습도,평균 상대습도,평균 증기압,평균 현지기압,합계 일조 시간,시간당 최다일사량,합계 일사,일 최심적설,합계 대형증발량,안개 계속시간,PM10,PM2.5,O3,NO2,CO,SO2,종합대기상태,종합대기지수,주오염물질,china_PM25,187750,045060,083550,045520,022100
2015-01-01,-7.7,-9.8,-4.3,,,12.1,270.0,6.5,320.0,4.6,3999.0,-18.8,29.0,41.4,1.4,1013.6,8.9,1.7,9.79,,,,65.0,11.0,0.021,0.011,0.6,0.006,보통,72.0,미세먼지(PM10),32.5,4440.0,492.0,3658.0,3840.0,5250.0
2015-01-02,-6.0,-9.0,-1.9,,,13.0,270.0,6.7,290.0,3.2,2789.0,-16.1,28.0,45.9,1.7,1014.6,7.6,1.68,9.07,,,,29.0,10.0,0.017,0.018000000000000002,0.7,0.006999999999999999,좋음,38.0,미세먼지(PM10),44.2,4440.0,492.0,3658.0,3840.0,5250.0
2015-01-03,-2.7,-9.2,3.1,,,6.7,250.0,4.4,230.0,1.9,1678.0,-10.5,35.0,56.1,3.0,1012.7,7.9,1.62,8.66,,,,36.0,16.0,0.005,0.033,1.0,0.008,보통,54.0,이산화질소,70.8,4440.0,493.0,3584.0,3920.0,5150.0
2015-01-04,2.5,0.2,8.5,0.08,0.0,6.1,70.0,3.7,50.0,2.0,1758.0,-2.5,54.0,70.1,5.2,1007.7,3.6,1.11,5.32,,,,42.0,20.0,0.004,0.038,1.2,0.008,보통,63.0,이산화질소,125.2,4440.0,493.0,3584.0,3920.0,5150.0
2015-01-05,3.7,-1.1,7.9,3.83,0.4,6.9,70.0,4.4,70.0,2.4,2087.0,-1.0,51.0,73.1,5.7,1006.2,4.4,1.37,6.48,,,,75.0,37.0,0.004,0.043,1.3,0.009000000000000001,보통,87.0,초미세먼지(PM2.5),179.8,4440.0,493.0,3584.0,3920.0,5150.0
2015-01-06,-3.2,-7.6,4.0,3.67,3.0,10.9,270.0,7.3,290.0,4.3,3712.0,-12.4,27.0,52.4,2.8,1006.4,9.2,1.78,10.47,,,,38.0,12.0,0.023,0.016,0.3,0.006,좋음,50.0,미세먼지(PM10),204.6,4440.0,494.0,3599.0,3945.0,5160.0
2015-01-07,-5.5,-8.9,-0.6,,,6.8,270.0,4.5,320.0,2.5,2201.0,-19.4,23.0,33.1,1.3,1012.0,9.2,1.71,10.12,,,,34.0,11.0,0.021,0.017,0.2,0.006999999999999999,좋음,45.0,미세먼지(PM10),34.7,4440.0,495.0,3790.0,3985.0,5130.0
2015-01-08,-5.1,-9.5,-0.2,,,6.7,230.0,4.8,270.0,2.2,1884.0,-15.4,25.0,45.8,1.9,1015.2,9.2,1.7,10.09,,,,41.0,16.0,0.012,0.027000000000000003,0.4,0.006999999999999999,보통,53.0,미세먼지(PM10),77.6,4440.0,496.0,3751.0,3960.0,5210.0
2015-01-09,-2.1,-6.8,3.5,,,7.1,250.0,4.2,290.0,2.0,1705.0,-9.4,37.0,58.3,3.0,1014.4,9.1,1.48,8.74,,,,44.0,21.0,0.006999999999999999,0.036000000000000004,0.7,0.008,보통,59.0,이산화질소,111.2,4296.0,497.0,3785.0,4015.0,5450.0
2015-01-10,-0.3,-5.6,4.8,,,9.5,270.0,6.3,270.0,2.3,2024.0,-8.2,32.0,56.5,3.5,1012.8,9.1,1.66,9.41,,,,34.0,16.0,0.011,0.031,0.6,0.009000000000000001,보통,51.0,이산화질소,182.3,4399.0,498.0,3839.0,4025.0,5350.0
2015-01-11,-0.4,-4.3,2.5,,,11.1,270.0,6.8,250.0,3.6,3076.0,-8.0,37.0,57.8,3.5,1013.5,9.2,1.63,9.6,,,,42.0,18.0,0.02,0.017,0.5,0.009000000000000001,보통,54.0,미세먼지(PM10),113.4,4399.0,498.0,3839.0,4025.0,5350.0
