adj_prc,cls_prc,code,date,high_prc,low_prc,shtsale_trd_qty,strt_prc,trd_qty
4205,2065,187790,20140508,2100,2030,0,2090,709.91
4175,2050,187790,20140509,2055,2045,0,2045,152.99
4185,2055,187790,20140512,2055,2045,0,2050,90.89
4175,2050,187790,20140513,2055,2050,0,2050,100.3
4175,2050,187790,20140514,2055,2035,0,2035,118.14
4185,2055,187790,20140515,2060,2050,0,2050,70.57
4175,2050,187790,20140516,2055,2050,0,2050,57.47
4175,2050,187790,20140519,2055,2050,0,2050,45.92
4195,2060,187790,20140520,2060,2050,0,2050,41.25
4185,2055,187790,20140521,2060,2055,0,2060,17.95
4195,2060,187790,20140522,2060,2055,0,2060,22.82
4236,2080,187790,20140523,2090,2060,0,2060,54.08
4277,2100,187790,20140526,2115,2065,0,2090,38.18
4297,2110,187790,20140527,2120,2100,0,2120,35.78
4470,2195,187790,20140528,2205,2120,0,2120,178.75
4399,2160,187790,20140529,2195,2160,0,2195,36.51
4613,2265,187790,20140530,2275,2185,0,2185,126.06
4653,2285,187790,20140602,2320,2250,0,2265,90.48
4623,2270,187790,20140603,2300,2250,0,2265,46.88
4582,2250,187790,20140605,2285,2230,0,2230,18.64
4562,2240,187790,20140609,2270,2235,0,2250,24.79
4603,2260,187790,20140610,2270,2220,0,2265,68.39
4521,2220,187790,20140611,2255,2220,0,2240,45.31
4501,2210,187790,20140612,2220,2200,0,2200,16.72
4480,2200,187790,20140613,2205,2190,0,2205,30.38
4460,2190,187790,20140616,2190,2170,0,2190,33.84
4521,2220,187790,20140617,2220,2180,0,2180,2.42
4480,2200,187790,20140618,2245,2160,0,2245,16.82
4460,2190,187790,20140619,2195,2170,0,2175,6.38
4511,2215,187790,20140620,2220,2170,0,2170,36.33
4501,2210,187790,20140623,2220,2180,0,2180,30
4480,2200,187790,20140624,2205,2190,0,2205,1.01
4470,2195,187790,20140625,2200,2185,0,2200,12.77
4480,2200,187790,20140626,2205,2195,0,2195,17.16
4480,2200,187790,20140627,2200,2200,0,2200,0
4460,2190,187790,20140630,2210,2190,0,2210,2.26
4450,2185,187790,20140701,2190,2180,0,2190,1.18
4379,2150,187790,20140702,2180,2140,0,2180,35.92
4389,2155,187790,20140703,2155,2135,0,2135,34.58
4348,2135,187790,20140704,2155,2125,0,2145,29.67
4338,2130,187790,20140707,2170,2130,0,2170,36.8
4328,2125,187790,20140708,2130,2120,0,2130,13.42
4358,2140,187790,20140709,2140,2110,0,2120,16.18
4358,2140,187790,20140710,2140,2130,0,2130,9.49
4338,2130,187790,20140711,2150,2120,0,2150,26.7
4358,2140,187790,20140714,2140,2115,0,2130,13.25
4317,2120,187790,20140715,2125,2115,0,2115,12.07
4338,2130,187790,20140716,2155,2115,0,2135,33.73
4389,2155,187790,20140717,2180,2130,0,2130,14.49
4379,2150,187790,20140718,2155,2130,0,2155,29.5
4338,2130,187790,20140721,2130,2120,0,2120,22.59
4317,2120,187790,20140722,2125,2120,0,2120,38.66
4307,2115,187790,20140723,2130,2090,0,2115,91.52
4338,2130,187790,20140724,2130,2090,0,2105,46.16
4379,2150,187790,20140725,2150,2125,0,2135,39.66
4328,2125,187790,20140728,2150,2100,0,2105,42.88
4317,2120,187790,20140729,2135,2090,0,2130,101.73
4297,2110,187790,20140730,2120,2100,0,2120,14.67
4307,2115,187790,20140731,2115,2110,0,2110,7.09
4338,2130,187790,20140801,2130,2120,0,2120,0.11
4348,2135,187790,20140804,2135,2100,0,2110,97.81
4338,2130,187790,20140805,2130,2100,0,2130,12.4
4328,2125,187790,20140806,2130,2120,0,2125,12.31
4338,2130,187790,20140807,2130,2110,0,2120,4.4
4338,2130,187790,20140808,2130,2100,0,2100,10.35
4338,2130,187790,20140811,2130,2100,0,2105,11.96
4338,2130,187790,20140812,2130,2095,0,2105,6.06
4338,2130,187790,20140813,2130,2105,0,2105,17.48
4358,2140,187790,20140814,2140,2130,0,2130,19.26
4358,2140,187790,20140818,2140,2140,0,2140,0
4358,2140,187790,20140819,2140,2120,0,2120,2.01
4348,2135,187790,20140820,2135,2110,0,2110,1
4307,2115,187790,20140821,2135,2105,0,2105,5.09
4328,2125,187790,20140822,2125,2125,0,2125,0
4297,2110,187790,20140825,2110,2105,0,2105,5.92
4348,2135,187790,20140826,2135,2135,0,2135,0.01
4348,2135,187790,20140827,2135,2135,0,2135,0.25
4348,2135,187790,20140828,2135,2135,0,2135,0
4338,2130,187790,20140829,2130,2130,0,2130,0
4317,2120,187790,20140901,2120,2100,0,2100,1
4307,2115,187790,20140902,2115,2115,0,2115,0
4297,2110,187790,20140903,2110,2085,0,2085,31.7
4297,2110,187790,20140904,2110,2090,0,2090,0
4277,2100,187790,20140905,2105,2075,0,2105,9.24
4267,2095,187790,20140911,2100,2065,0,2100,4.36
4277,2100,187790,20140912,2100,2080,0,2080,0.02
4277,2100,187790,20140915,2100,2100,0,2100,0
4307,2115,187790,20140916,2115,2100,0,2100,0
4246,2085,187790,20140917,2090,2085,0,2090,2.71
4236,2080,187790,20140918,2120,2075,0,2120,7.83
4267,2095,187790,20140919,2105,2085,0,2085,3.02
4256,2090,187790,20140922,2095,2090,0,2095,8
4267,2095,187790,20140923,2095,2075,0,2080,15.38
4256,2090,187790,20140924,2095,2070,0,2080,9.91
4256,2090,187790,20140925,2090,2050,0,2080,36.7
4216,2070,187790,20140926,2090,2070,0,2090,8.39
4307,2115,187790,20140929,2115,2070,0,2070,0.38
4226,2075,187790,20140930,2085,2050,0,2085,23.58
4195,2060,187790,20141001,2085,2050,0,2085,15.35
4195,2060,187790,20141002,2070,2040,0,2050,42.31
4205,2065,187790,20141006,2065,2010,0,2030,1.54
4216,2070,187790,20141007,2070,2025,0,2025,26.07
4175,2050,187790,20141008,2150,2020,0,2150,38.68
4216,2070,187790,20141010,2070,2045,0,2050,15.55
4134,2030,187790,20141013,2050,2025,0,2030,11.6
4185,2055,187790,20141014,2080,2030,0,2030,7.92
4124,2025,187790,20141015,2035,2025,0,2035,13.07
4175,2050,187790,20141016,2050,2025,0,2025,13.55
4175,2050,187790,20141017,2065,2030,0,2065,16.57
4175,2050,187790,20141020,2050,2030,0,2030,20.54
4216,2070,187790,20141021,2080,2050,0,2075,20.34
4144,2035,187790,20141022,2090,2035,0,2055,20.28
4175,2050,187790,20141023,2055,2040,0,2055,36.66
4256,2090,187790,20141024,2090,2040,0,2050,18.37
4246,2085,187790,20141027,2140,2085,0,2100,22.51
4338,2130,187790,20141028,2140,2100,0,2130,11.42
4277,2100,187790,20141029,2130,2090,0,2100,28.13
