,adj_prc,cls_prc,code,date,high_prc,low_prc,shtsale_trd_qty,strt_prc,trd_qty
0,1625,1625,045060,20130102,1635,1600,0.0,1635,60.76
1,1635,1635,045060,20130103,1635,1610,0.0,1635,40.89
2,1640,1640,045060,20130104,1650,1620,0.0,1630,33.74
3,1640,1640,045060,20130107,1645,1610,0.0,1645,39.1
4,1635,1635,045060,20130108,1635,1615,0.0,1635,50.22
5,1630,1630,045060,20130109,1640,1620,0.0,1635,46.69
6,1635,1635,045060,20130110,1645,1625,0.0,1635,122.09
7,1700,1700,045060,20130111,1740,1620,0.0,1640,925.05
8,1760,1760,045060,20130114,1845,1760,0.0,1760,1445.41
9,1730,1730,045060,20130115,1790,1705,0.0,1765,385.22
10,1720,1720,045060,20130116,1745,1690,0.0,1720,286.76
11,1750,1750,045060,20130117,1765,1705,0.0,1735,233.71
12,1720,1720,045060,20130118,1780,1715,0.0,1765,210.57
13,1745,1745,045060,20130121,1750,1720,0.0,1735,121.46
14,1760,1760,045060,20130122,1790,1730,0.0,1730,156.3
15,1745,1745,045060,20130123,1780,1740,0.0,1760,100.02
16,1760,1760,045060,20130124,1785,1730,0.0,1750,93.0
17,1730,1730,045060,20130125,1800,1720,0.0,1800,106.66
18,1715,1715,045060,20130128,1745,1695,0.0,1730,125.48
19,1715,1715,045060,20130129,1745,1705,0.0,1710,115.72
20,1730,1730,045060,20130130,1740,1700,0.0,1720,62.37
21,1740,1740,045060,20130131,1755,1705,0.0,1730,56.24
22,1740,1740,045060,20130201,1765,1720,0.0,1760,86.44
23,1770,1770,045060,20130204,1805,1740,0.0,1755,277.43
24,1735,1735,045060,20130205,1810,1730,0.0,1775,295.76
25,1735,1735,045060,20130206,1765,1710,0.0,1750,122.27
26,1785,1785,045060,20130207,1830,1725,0.0,1740,194.82
27,1810,1810,045060,20130208,1820,1760,4.0,1800,178.4
28,1755,1755,045060,20130212,1815,1750,0.0,1810,239.01
29,1770,1770,045060,20130213,1770,1740,0.0,1740,111.2
30,1800,1800,045060,20130214,1810,1745,0.0,1770,130.12
31,1790,1790,045060,20130215,1800,1770,0.0,1800,59.38
