,adj_prc,cls_prc,code,date,high_prc,low_prc,shtsale_trd_qty,strt_prc,trd_qty
0,2576,2630,083550,20130102,2650,2615,0.0,2620,20.4
1,2580,2635,083550,20130103,2640,2620,0.0,2635,17.03
2,2546,2600,083550,20130104,2660,2585,0.0,2625,26.72
3,2757,2815,083550,20130107,2845,2585,0.0,2585,112.16
4,2796,2855,083550,20130108,2865,2785,0.0,2785,46.3
5,2747,2805,083550,20130109,2855,2795,0.0,2840,47.67
6,2639,2695,083550,20130110,2825,2695,0.0,2795,85.12
7,2884,2945,083550,20130111,2985,2660,0.0,2700,237.28
8,2938,3000,083550,20130114,3185,2960,0.0,3080,437.54
9,2860,2920,083550,20130115,3060,2900,0.0,3030,99.08
10,2864,2925,083550,20130116,2940,2855,0.0,2880,71.66
11,2830,2890,083550,20130117,2970,2885,0.0,2930,49.42
12,2752,2810,083550,20130118,2915,2800,0.0,2890,77.25
13,2752,2810,083550,20130121,2860,2750,0.0,2795,91.14
14,2698,2755,083550,20130122,2810,2725,0.0,2790,60.01
15,2664,2720,083550,20130123,2775,2720,0.0,2750,47.6
16,2678,2735,083550,20130124,2780,2710,0.0,2760,33.13
17,2649,2705,083550,20130125,2760,2665,0.0,2740,29.47
18,2620,2675,083550,20130128,2730,2650,0.0,2690,20.16
19,2644,2700,083550,20130129,2780,2640,0.0,2655,31.46
20,2683,2740,083550,20130130,2750,2650,0.0,2680,31.18
21,2669,2725,083550,20130131,2730,2690,0.0,2705,41.64
22,2629,2685,083550,20130201,2735,2650,0.0,2700,25.93
23,2615,2670,083550,20130204,2700,2665,0.0,2675,26.88
24,2595,2650,083550,20130205,2670,2615,0.0,2625,24.12
25,2624,2680,083550,20130206,2690,2635,0.0,2635,8.48
26,2659,2715,083550,20130207,2720,2660,0.0,2660,12.5
27,2659,2715,083550,20130208,2735,2675,0.0,2700,15.23
28,2644,2700,083550,20130212,2735,2675,0.0,2695,35.72
29,2664,2720,083550,20130213,2725,2675,0.0,2675,17.16
30,2649,2705,083550,20130214,2725,2680,0.0,2700,63.1
31,2669,2725,083550,20130215,2735,2695,0.0,2705,35.24
32,2693,2750,083550,20130218,2780,2700,0.0,2725,23.06
33,2771,2830,083550,20130219,2830,2725,0.0,2725,78.4
34,2904,2965,083550,20130220,3080,2770,0.0,2815,211.75
35,2982,3045,083550,20130221,3150,2905,0.0,2945,162.72
36,2957,3020,083550,20130222,3045,2960,0.0,3025,67.76
37,2860,2920,083550,20130225,3020,2910,0.0,3020,52.25
38,2850,2910,083550,20130226,3030,2880,0.0,2890,48.28
39,2830,2890,083550,20130227,2950,2875,0.0,2925,21.41
40,2801,2860,083550,20130228,3000,2850,0.0,2910,82.8
41,2806,2865,083550,20130304,2895,2845,0.0,2860,21.26
42,2820,2880,083550,20130305,2970,2855,0.0,2855,23.17
43,2835,2895,083550,20130306,2940,2880,0.0,2880,12.03
44,2879,2940,083550,20130307,2980,2845,0.0,2895,30.14
45,2855,2915,083550,20130308,2985,2900,0.0,2940,77.19
46,2815,2875,083550,20130311,2930,2860,0.0,2905,35.14
47,2845,2905,083550,20130312,2940,2865,0.0,2865,45.39
48,2840,2900,083550,20130313,3050,2885,0.0,2900,58.09
49,2860,2920,083550,20130314,2940,2890,0.0,2920,21.11
50,2864,2925,083550,20130315,2970,2920,0.0,2920,24.68
51,2806,2865,083550,20130318,3050,2865,0.0,2910,32.55
52,2840,2900,083550,20130319,2920,2855,0.0,2855,12.84
53,2776,2835,083550,20130320,2925,2835,0.0,2880,39.87
54,2781,2840,083550,20130321,2935,2805,0.0,2840,43.22
55,2791,2850,083550,20130322,2865,2815,0.0,2815,32.21
56,2801,2860,083550,20130325,2890,2835,0.0,2835,21.05
57,2820,2880,083550,20130326,2880,2830,0.0,2840,21.23
58,2874,2935,083550,20130327,2935,2870,0.0,2880,29.75
59,2869,2930,083550,20130328,2950,2890,0.0,2930,29.5
60,2928,2990,083550,20130329,3050,2935,0.0,2935,223.89
61,2938,3000,083550,20130401,3025,2975,0.0,3000,60.91
62,2869,2930,083550,20130402,3020,2855,0.0,3000,95.42
63,2962,3025,083550,20130403,3130,2965,0.0,2995,405.76
64,2869,2930,083550,20130404,3050,2850,0.0,3050,330.08
65,2987,3050,083550,20130405,3110,2905,0.0,2950,556.27
66,3432,3505,083550,20130408,3505,3365,0.0,3400,548.99
67,3947,4030,083550,20130409,4030,3500,0.0,3890,6620.01
68,3770,3850,083550,20130410,4150,3710,0.0,4100,3759.76
69,3800,3880,083550,20130411,4060,3630,0.0,3840,4110.65
70,3604,3680,083550,20130412,3910,3600,0.0,3855,1781.47
71,3633,3710,083550,20130415,4130,3685,0.0,4010,2818.94
72,4177,4265,083550,20130416,4265,3565,0.0,3605,5581.11
73,4128,4215,083550,20130417,4400,4035,0.0,4275,3130.86
74,3917,4000,083550,20130418,4215,3965,0.0,4185,1168.01
75,3741,3820,083550,20130419,4090,3750,0.0,4000,1632.76
76,3653,3730,083550,20130422,3840,3675,0.0,3700,719.47
77,3677,3755,083550,20130423,3865,3740,0.0,3770,617.98
78,3550,3625,083550,20130424,3790,3625,0.0,3755,922.65
79,3765,3845,083550,20130425,3995,3755,0.0,3780,2461.51
80,3623,3700,083550,20130426,3860,3700,0.0,3860,905.0
81,3893,3975,083550,20130429,4180,3820,0.0,3850,2685.66
82,3795,3875,083550,20130430,4135,3830,0.0,3995,2333.86
83,3574,3650,083550,20130502,3820,3550,0.92,3790,1103.85
84,3428,3500,083550,20130503,3710,3480,0.0,3670,914.47
85,3310,3380,083550,20130506,3495,3340,0.0,3430,668.13
86,3330,3400,083550,20130507,3450,3350,0.0,3400,358.04
87,3281,3350,083550,20130508,3475,3350,0.0,3450,349.41
88,3354,3425,083550,20130509,3605,3395,0.0,3430,1476.61
89,3222,3290,083550,20130510,3560,3280,0.0,3450,630.57
90,3276,3345,083550,20130513,3430,3290,0.0,3395,340.75
91,3183,3250,083550,20130514,3415,3225,0.0,3340,333.09
92,3232,3300,083550,20130515,3340,3260,0.0,3275,197.51
93,3330,3400,083550,20130516,3440,3340,0.0,3375,312.44
94,3320,3390,083550,20130520,3445,3350,0.0,3400,231.07
95,3388,3460,083550,20130521,3500,3360,0.0,3390,394.66
96,3286,3355,083550,20130522,3475,3355,0.0,3455,182.5
97,3153,3220,083550,20130523,3375,3220,0.0,3330,221.95
98,3334,3405,083550,20130524,3405,3145,0.0,3220,262.1
99,3320,3390,083550,20130527,3495,3370,0.0,3435,174.72
100,3437,3510,083550,20130528,3590,3370,7.47,3390,375.59
101,3393,3465,083550,20130529,3800,3465,4.98,3540,391.89
102,3442,3515,083550,20130530,3570,3465,0.0,3510,179.68
103,3472,3545,083550,20130531,3690,3485,7.02,3545,360.17
104,3388,3460,083550,20130603,3595,3460,0.0,3475,169.26
105,3486,3560,083550,20130604,3560,3410,0.0,3495,228.29
106,3379,3450,083550,20130605,3645,3420,0.0,3570,260.44
107,3349,3420,083550,20130607,3535,3250,0.0,3460,251.21
108,3305,3375,083550,20130610,3480,3350,0.0,3355,111.29
109,3315,3385,083550,20130611,3410,3340,0.0,3375,50.5
110,3251,3320,083550,20130612,3395,3295,0.0,3395,77.61
111,3163,3230,083550,20130613,3345,3185,0.0,3275,138.22
112,3188,3255,083550,20130614,3290,3230,0.0,3235,59.73
113,3148,3215,083550,20130617,3290,3155,0.0,3245,66.48
114,3192,3260,083550,20130618,3285,3165,0.0,3220,32.89
115,3183,3250,083550,20130619,3325,3210,0.0,3220,73.39
116,3080,3145,083550,20130620,3250,3145,0.0,3230,59.34
117,3021,3085,083550,20130621,3130,2990,0.08,3050,73.02
118,2938,3000,083550,20130624,3095,3000,0.0,3025,57.7
119,2850,2910,083550,20130625,3145,2885,1.28,2945,120.88
120,2923,2985,083550,20130626,3035,2880,0.0,2920,117.67
121,3021,3085,083550,20130627,3165,2990,0.0,2990,63.85
122,3065,3130,083550,20130628,3170,3110,0.0,3170,15.35
123,3212,3280,083550,20130701,3300,3095,0.0,3100,30.77
124,3192,3260,083550,20130702,3370,3160,0.0,3300,63.29
125,3153,3220,083550,20130703,3385,3190,0.05,3225,59.73
126,3188,3255,083550,20130704,3275,3140,0.0,3220,27.9
127,3173,3240,083550,20130705,3330,3225,0.0,3300,38.42
128,3075,3140,083550,20130708,3315,3125,0.0,3250,28.23
129,3134,3200,083550,20130709,3300,3140,0.0,3150,16.76
130,3178,3245,083550,20130710,3380,3180,0.0,3275,44.69
131,3300,3370,083550,20130711,3420,3220,0.0,3310,65.33
132,3173,3240,083550,20130712,3500,3225,0.0,3420,257.83
133,3232,3300,083550,20130715,3700,3240,0.0,3285,1957.43
134,3232,3300,083550,20130716,3345,3225,0.0,3340,541.55
135,3290,3360,083550,20130717,3370,3265,0.0,3320,324.62
136,3246,3315,083550,20130718,3385,3310,0.0,3375,214.83
137,3251,3320,083550,20130719,3365,3295,0.0,3350,108.47
138,3383,3455,083550,20130722,3480,3310,0.0,3330,422.09
139,3300,3370,083550,20130723,3475,3340,0.0,3475,212.51
140,3344,3415,083550,20130724,3440,3345,0.0,3390,120.11
141,3349,3420,083550,20130725,3465,3395,0.0,3435,108.46
142,3281,3350,083550,20130726,3450,3335,0.0,3450,105.63
143,3251,3320,083550,20130729,3440,3315,0.0,3380,89.66
144,3290,3360,083550,20130730,3390,3310,0.0,3320,60.15
145,3197,3265,083550,20130731,3385,3255,0.0,3365,75.39
146,3232,3300,083550,20130801,3315,3225,0.0,3295,97.88
147,3227,3295,083550,20130802,3350,3275,0.0,3335,53.61
148,3295,3365,083550,20130805,3490,3280,0.0,3320,381.37
149,3393,3465,083550,20130806,3495,3360,0.0,3375,187.65
150,3344,3415,083550,20130807,3570,3400,0.0,3465,209.42
151,3452,3525,083550,20130808,3530,3400,0.0,3460,179.6
152,3364,3435,083550,20130809,3610,3425,0.0,3570,345.9
153,3344,3415,083550,20130812,3500,3400,0.0,3465,281.39
154,3281,3350,083550,20130813,3510,3330,0.0,3425,164.46
155,3364,3435,083550,20130814,3480,3310,0.0,3355,268.64
156,3447,3520,083550,20130816,3540,3385,0.0,3385,307.25
157,3491,3565,083550,20130819,3930,3540,0.0,3610,2639.16
158,3491,3565,083550,20130820,3630,3485,0.0,3580,817.51
159,3584,3660,083550,20130821,3820,3545,11.94,3560,964.88
160,3594,3670,083550,20130822,3810,3455,0.0,3585,1022.76
161,3506,3580,083550,20130823,3755,3565,0.0,3750,656.56
162,3447,3520,083550,20130826,3615,3505,0.0,3580,333.11
163,3486,3560,083550,20130827,3625,3500,0.0,3500,294.22
164,3594,3670,083550,20130828,3750,3430,0.0,3500,1173.31
165,3476,3550,083550,20130829,3855,3535,6.85,3700,1284.17
166,3457,3530,083550,20130830,3680,3530,5.57,3615,405.28
167,3506,3580,083550,20130902,3655,3545,0.0,3560,239.34
168,3476,3550,083550,20130903,3640,3530,0.0,3600,223.96
169,3437,3510,083550,20130904,3580,3470,0.0,3575,267.19
170,3560,3635,083550,20130905,3665,3500,0.0,3515,243.68
171,3560,3635,083550,20130906,3705,3530,0.0,3705,151.9
172,3535,3610,083550,20130909,3720,3570,0.0,3645,373.49
173,3501,3575,083550,20130910,3625,3510,0.0,3610,321.03
174,3476,3550,083550,20130911,3635,3475,0.0,3585,187.02
175,3442,3515,083550,20130912,3600,3470,1.29,3550,172.97
176,3530,3605,083550,20130913,3615,3490,4.59,3490,172.21
177,3481,3555,083550,20130916,3630,3530,0.73,3605,63.71
178,3467,3540,083550,20130917,3595,3515,1.32,3525,66.99
179,3545,3620,083550,20130923,3690,3515,0.01,3540,70.88
180,3467,3540,083550,20130924,3710,3540,0.16,3660,211.44
181,3403,3475,083550,20130925,3600,3470,0.0,3540,176.06
182,3447,3520,083550,20130926,3540,3445,0.0,3475,134.0
183,3428,3500,083550,20130927,3625,3475,0.0,3505,114.81
184,3305,3375,083550,20130930,3495,3375,0.0,3485,163.02
185,3188,3255,083550,20131001,3415,3200,0.0,3355,193.5
186,3266,3335,083550,20131002,3430,3235,0.0,3235,135.66
187,3300,3370,083550,20131004,3395,3330,0.0,3395,35.68
188,3276,3345,083550,20131007,3440,3330,0.0,3335,50.44
189,3237,3305,083550,20131008,3420,3250,0.0,3310,73.75
190,3344,3415,083550,20131010,3415,3285,0.0,3285,28.7
191,3212,3280,083550,20131011,3435,3280,0.0,3420,64.31
192,3305,3375,083550,20131014,3385,3285,0.0,3300,55.8
193,3310,3380,083550,20131015,3405,3340,0.0,3355,23.38
194,3295,3365,083550,20131016,3430,3325,0.0,3385,40.07
195,3261,3330,083550,20131017,3410,3310,0.0,3410,40.17
196,3271,3340,083550,20131018,3405,3270,0.0,3330,22.99
197,3251,3320,083550,20131021,3390,3255,0.0,3390,34.91
198,3192,3260,083550,20131022,3335,3240,0.0,3280,37.8
199,3158,3225,083550,20131023,3335,3225,0.0,3260,35.21
200,3217,3285,083550,20131024,3310,3160,0.0,3160,27.8
201,3232,3300,083550,20131025,3360,3260,0.0,3330,21.54
202,3232,3300,083550,20131028,3335,3240,0.0,3285,40.56
203,3222,3290,083550,20131029,3770,3290,10.9,3470,1008.11
204,3192,3260,083550,20131030,3345,3260,0.0,3340,343.83
205,3183,3250,083550,20131031,3290,3210,0.84,3290,126.95
206,3202,3270,083550,20131101,3310,3230,0.0,3250,72.36
207,3246,3315,083550,20131104,3390,3250,0.0,3325,231.97
208,3227,3295,083550,20131105,3360,3265,0.0,3315,106.61
209,3286,3355,083550,20131106,3585,3335,9.55,3580,335.83
210,3266,3335,083550,20131107,3410,3315,0.0,3410,104.79
211,3251,3320,083550,20131108,3380,3290,0.12,3305,89.37
212,3188,3255,083550,20131111,3440,3240,1.13,3305,165.07
213,3192,3260,083550,20131112,3315,3220,0.0,3220,28.06
214,3178,3245,083550,20131113,3315,3230,0.33,3270,41.06
215,3134,3200,083550,20131114,3275,3175,0.0,3250,153.83
216,3256,3325,083550,20131115,3330,3150,0.0,3220,97.69
217,3212,3280,083550,20131118,3380,3240,0.0,3340,69.7
218,3129,3195,083550,20131119,3280,3175,0.0,3270,64.9
219,3109,3175,083550,20131120,3370,3155,0.0,3155,133.74
220,3099,3165,083550,20131121,3260,3160,0.0,3210,46.2
221,3168,3235,083550,20131122,3315,3175,0.0,3185,115.87
222,3227,3295,083550,20131125,3300,3200,0.0,3235,41.86
223,3099,3165,083550,20131126,3320,3145,0.0,3290,153.3
224,3041,3105,083550,20131127,3195,3060,0.0,3195,189.92
225,2997,3060,083550,20131128,3105,3035,0.0,3075,142.13
226,2997,3060,083550,20131129,3090,3040,0.0,3050,37.65
227,3036,3100,083550,20131202,3115,3020,0.1,3055,139.2
228,2948,3010,083550,20131203,3175,3000,5.87,3130,224.53
229,2953,3015,083550,20131204,3045,2980,0.0,3025,181.69
230,2967,3030,083550,20131205,3065,3010,0.0,3010,73.44
231,2987,3050,083550,20131206,3125,3030,0.8,3035,105.15
232,2997,3060,083550,20131209,3100,3010,0.0,3020,29.05
233,2918,2980,083550,20131210,3070,2970,0.15,3065,59.83
234,2908,2970,083550,20131211,3030,2950,0.0,2960,42.99
235,2860,2920,083550,20131212,2965,2860,0.0,2920,128.65
236,2864,2925,083550,20131213,2970,2895,0.0,2920,21.08
237,2864,2925,083550,20131216,2955,2890,0.0,2910,20.04
238,2850,2910,083550,20131217,2965,2895,0.0,2965,17.3
239,2845,2905,083550,20131218,2950,2900,0.0,2910,32.15
240,2845,2905,083550,20131219,2965,2900,0.0,2905,6.97
241,2806,2865,083550,20131220,2940,2850,0.0,2940,42.63
242,2840,2900,083550,20131223,2960,2850,0.0,2910,23.68
243,2840,2900,083550,20131224,2950,2885,0.0,2905,12.82
244,2845,2905,083550,20131226,2940,2875,0.0,2940,27.11
245,2874,2935,083550,20131227,2935,2880,0.0,2915,10.71
246,2899,2960,083550,20131230,2960,2910,0.0,2945,10.55
247,2913,2975,083550,20140102,3010,2940,0.0,2950,19.45
248,2874,2935,083550,20140103,3030,2895,0.0,2980,20.6
