,adj_prc,cls_prc,code,date,high_prc,low_prc,shtsale_trd_qty,strt_prc,trd_qty
0,4530,4530,045520,20130102,4560,4290,0.0,4290,87.87
1,4755,4755,045520,20130103,4780,4500,0.0,4530,88.65
2,4730,4730,045520,20130104,4750,4670,0.0,4750,43.72
3,4830,4830,045520,20130107,4940,4675,0.0,4675,62.11
4,4840,4840,045520,20130108,4880,4770,0.0,4820,42.16
5,4890,4890,045520,20130109,4890,4770,0.0,4840,60.18
6,4925,4925,045520,20130110,4930,4860,0.0,4930,36.64
7,4825,4825,045520,20130111,4925,4810,0.0,4890,51.81
8,4945,4945,045520,20130114,5040,4900,0.0,4900,111.11
9,4930,4930,045520,20130115,5300,4920,0.0,5050,185.11
10,4865,4865,045520,20130116,4990,4775,0.0,4990,94.25
11,4800,4800,045520,20130117,4865,4670,0.0,4810,87.83
12,4750,4750,045520,20130118,4840,4720,0.0,4775,30.94
13,4810,4810,045520,20130121,4835,4750,0.0,4750,33.38
14,4935,4935,045520,20130122,4950,4800,0.0,4870,73.56
15,4940,4940,045520,20130123,4980,4890,0.0,4980,41.44
16,4900,4900,045520,20130124,4940,4850,0.0,4940,43.89
17,4800,4800,045520,20130125,4925,4790,0.0,4900,42.56
18,4840,4840,045520,20130128,4860,4765,0.0,4800,56.43
19,4815,4815,045520,20130129,4880,4800,0.0,4880,44.35
20,4850,4850,045520,20130130,4850,4795,0.0,4815,46.56
21,4990,4990,045520,20130131,4995,4825,0.0,4825,88.47
22,4980,4980,045520,20130201,5050,4965,0.0,5030,82.54
23,4925,4925,045520,20130204,4995,4900,0.0,4980,55.89
24,4950,4950,045520,20130205,5050,4890,0.0,4910,57.83
25,4960,4960,045520,20130206,4985,4910,0.0,4910,44.6
26,4935,4935,045520,20130207,4955,4900,0.0,4955,46.66
27,4970,4970,045520,20130208,4975,4890,0.0,4910,43.91
28,5000,5000,045520,20130212,5450,4975,0.0,5000,593.82
29,5060,5060,045520,20130213,5090,4970,0.0,5010,127.67
30,5250,5250,045520,20130214,5280,5040,0.0,5090,203.46
31,5250,5250,045520,20130215,5330,5180,0.0,5180,128.45
32,5230,5230,045520,20130218,5290,5190,0.0,5210,110.32
33,5280,5280,045520,20130219,5350,5220,0.0,5250,93.57
34,5240,5240,045520,20130220,5330,5190,0.0,5330,112.53
35,5320,5320,045520,20130221,5480,5160,0.0,5160,370.5
36,5300,5300,045520,20130222,5380,5270,0.0,5300,109.82
37,5310,5310,045520,20130225,5390,5270,0.0,5390,96.65
38,5310,5310,045520,20130226,5330,5220,0.0,5230,78.05
39,5260,5260,045520,20130227,5320,5240,0.0,5270,87.74
40,5230,5230,045520,20130228,5810,5230,0.0,5670,811.58
41,4450,4450,045520,20130304,4830,4450,0.0,4830,805.99
42,4115,4115,045520,20130305,4185,3905,0.0,4130,1893.95
43,4095,4095,045520,20130306,4185,4015,0.0,4145,740.93
44,3975,3975,045520,20130307,4135,3925,0.0,4095,733.91
45,3970,3970,045520,20130308,4085,3970,0.0,4025,611.36
46,3735,3735,045520,20130311,3920,3610,0.0,3910,981.22
47,3845,3845,045520,20130312,3845,3675,0.0,3715,396.07
48,3730,3730,045520,20130313,3835,3720,0.0,3800,279.85
49,3570,3570,045520,20130314,3750,3495,0.0,3715,442.37
50,3570,3570,045520,20130315,3660,3535,0.0,3605,230.57
51,3560,3560,045520,20130318,3605,3530,0.0,3600,191.81
52,3690,3690,045520,20130319,3695,3600,0.0,3650,376.15
53,3585,3585,045520,20130320,3725,3575,0.0,3680,197.85
54,3230,3230,045520,20130321,3610,3205,0.0,3585,440.22
55,3325,3325,045520,20130322,3330,3185,0.0,3250,251.79
56,3405,3405,045520,20130325,3420,3305,0.0,3340,152.77
57,3370,3370,045520,20130326,3425,3340,0.0,3425,92.5
58,3295,3295,045520,20130327,3375,3220,0.0,3370,140.6
59,3360,3360,045520,20130328,3420,3295,0.0,3335,115.95
60,3345,3345,045520,20130329,3425,3330,0.0,3400,81.69
61,3510,3510,045520,20130401,3545,3425,0.0,3445,347.87
62,3425,3425,045520,20130402,3545,3410,0.0,3545,160.23
63,3310,3310,045520,20130403,3500,3310,0.0,3470,175.11
64,3370,3370,045520,20130404,3490,3220,0.0,3280,214.31
65,3335,3335,045520,20130405,3475,3315,0.0,3475,129.89
66,3835,3835,045520,20130408,3835,3410,0.0,3445,1615.59
67,3550,3550,045520,20130409,4135,3415,0.0,4010,4387.02
68,3510,3510,045520,20130410,3620,3465,0.0,3565,832.64
69,3695,3695,045520,20130411,3980,3500,0.0,3515,1890.85
