,adj_prc,cls_prc,code,date,high_prc,low_prc,shtsale_trd_qty,strt_prc,trd_qty
0,7847,7990,022100,20130102,8100,7950,6.04,8080,782.9
1,7621,7760,022100,20130103,8050,7680,1.08,8040,1449.1
2,7877,8020,022100,20130104,8030,7740,0.17,7810,1244.06
3,8142,8290,022100,20130107,8360,8100,0.37,8120,1414.18
4,8093,8240,022100,20130108,8340,8180,5.57,8320,696.84
5,8093,8240,022100,20130109,8300,8160,10.88,8240,584.21
6,8034,8180,022100,20130110,8320,8060,20.67,8280,801.71
7,7837,7980,022100,20130111,8210,7930,4.16,8190,798.62
8,7828,7970,022100,20130114,8170,7950,2.05,7980,655.23
9,7857,8000,022100,20130115,8300,7940,9.01,7950,1262.25
10,7788,7930,022100,20130116,8210,7900,3.13,8070,825.47
11,7867,8010,022100,20130117,8050,7920,2.14,7970,366.84
12,7847,7990,022100,20130118,8180,7950,1.48,8050,488.19
13,7936,8080,022100,20130121,8160,8030,2.6,8050,460.34
14,7710,7850,022100,20130122,8160,7840,2.45,8120,802.46
15,7543,7680,022100,20130123,7930,7580,0.14,7930,1280.7
16,7533,7670,022100,20130124,7900,7660,5.44,7800,794.88
17,7042,7170,022100,20130125,7740,7110,26.89,7730,2213.05
18,7150,7280,022100,20130128,7290,7030,8.61,7170,539.86
19,7052,7180,022100,20130129,7340,7070,2.61,7320,391.34
20,7229,7360,022100,20130130,7440,7150,7.43,7160,899.95
21,7150,7280,022100,20130131,7390,7240,11.69,7350,312.35
22,7189,7320,022100,20130201,7350,7150,0.0,7270,395.8
23,7081,7210,022100,20130204,7370,7190,1.03,7350,282.62
24,6904,7030,022100,20130205,7150,7000,14.1,7090,578.66
25,6895,7020,022100,20130206,7100,7010,12.28,7040,288.85
26,6875,7000,022100,20130207,7060,6970,8.88,7050,308.92
27,6914,7040,022100,20130208,7060,6990,8.01,7000,148.41
28,6993,7120,022100,20130212,7170,7060,3.61,7060,307.48
29,7111,7240,022100,20130213,7320,7160,7.47,7180,413.87
30,7081,7210,022100,20130214,7290,7170,9.8,7290,364.53
31,7081,7210,022100,20130215,7240,7140,3.1,7190,270.58
32,7130,7260,022100,20130218,7350,7220,4.16,7240,443.76
33,7101,7230,022100,20130219,7320,7230,0.56,7290,297.9
34,7160,7290,022100,20130220,7300,7230,3.74,7280,311.79
35,7140,7270,022100,20130221,7360,7250,5.64,7250,337.92
36,7121,7250,022100,20130222,7280,7170,0.12,7200,328.76
37,7317,7450,022100,20130225,7480,7270,0.25,7270,762.26
38,7317,7450,022100,20130226,7500,7340,0.71,7400,351.46
39,7445,7580,022100,20130227,7580,7460,0.16,7520,633.02
40,7562,7700,022100,20130228,7710,7530,15.18,7610,805.96
41,7562,7700,022100,20130304,7810,7680,36.83,7770,658.53
42,7837,7980,022100,20130305,7980,7720,9.17,7720,1398.81
43,7818,7960,022100,20130306,8140,7910,34.21,8050,1200.69
44,7818,7960,022100,20130307,8110,7940,0.03,7990,983.08
45,7857,8000,022100,20130308,8020,7870,3.29,8000,542.89
46,7700,7840,022100,20130311,8000,7700,3.29,7920,672.26
47,7641,7780,022100,20130312,7900,7750,0.0,7840,536.7
48,7955,8100,022100,20130313,8110,7840,0.2,7850,1442.28
49,7867,8010,022100,20130314,8150,7970,19.35,8150,648.71
50,7641,7780,022100,20130315,8040,7780,9.17,8010,886.14
51,7562,7700,022100,20130318,7970,7680,1.79,7810,655.23
52,7671,7810,022100,20130319,7880,7730,16.09,7790,489.43
53,7720,7860,022100,20130320,7950,7760,11.1,7870,664.96
54,7651,7790,022100,20130321,7960,7790,18.79,7920,379.42
55,7808,7950,022100,20130322,7950,7690,7.71,7800,588.95
56,7808,7950,022100,20130325,8050,7910,32.68,8000,499.15
57,8014,8160,022100,20130326,8170,7900,6.68,7970,1228.5
58,7955,8100,022100,20130327,8250,8050,7.19,8220,987.46
59,8004,8150,022100,20130328,8150,8050,0.44,8080,551.46
60,7769,7910,022100,20130329,8300,7730,6.02,8300,2159.68
61,7906,8050,022100,20130401,8080,7930,2.3,7980,953.04
62,7720,7860,022100,20130402,8070,7750,2.93,8070,636.39
63,7739,7880,022100,20130403,7920,7750,1.76,7900,473.01
64,7562,7700,022100,20130404,7950,7540,0.45,7870,771.09
65,7464,7600,022100,20130405,7820,7480,4.02,7710,414.62
66,7170,7300,022100,20130408,7650,7300,0.23,7650,509.89
67,7258,7390,022100,20130409,7480,7240,1.65,7290,580.63
68,7327,7460,022100,20130410,7540,7420,2.39,7500,349.88
69,7464,7600,022100,20130411,7650,7500,0.44,7540,434.14
70,7307,7440,022100,20130412,7640,7400,3.04,7620,462.94
71,7179,7310,022100,20130415,7470,7260,5.36,7440,644.05
72,7258,7390,022100,20130416,7390,7130,0.82,7130,411.32
73,7170,7300,022100,20130417,7420,7250,10.25,7400,377.59
74,7140,7270,022100,20130418,7400,7190,4.04,7230,271.53
75,7042,7170,022100,20130419,7310,7150,4.47,7270,311.63
76,7287,7420,022100,20130422,7440,7170,5.55,7190,324.42
77,7258,7390,022100,20130423,7460,7340,7.42,7430,189.24
78,7337,7470,022100,20130424,7500,7350,5.54,7420,319.52
79,7307,7440,022100,20130425,7600,7370,7.18,7480,504.32
80,7435,7570,022100,20130426,7620,7450,5.02,7470,406.45
81,7494,7630,022100,20130429,7700,7520,9.04,7580,418.23
82,7366,7500,022100,20130430,7700,7480,11.78,7640,370.24
83,7170,7300,022100,20130502,7530,7220,10.53,7480,562.11
84,7179,7310,022100,20130503,7420,7290,10.16,7350,319.0
85,7356,7490,022100,20130506,7570,7350,0.22,7350,336.37
86,7356,7490,022100,20130507,7550,7400,15.05,7490,320.13
87,7396,7530,022100,20130508,7570,7510,0.89,7550,251.36
88,7425,7560,022100,20130509,7600,7470,1.15,7580,361.23
89,7307,7440,022100,20130510,7590,7430,4.48,7590,288.99
90,7199,7330,022100,20130513,7500,7330,4.31,7490,210.87
91,7297,7430,022100,20130514,7470,7320,0.53,7350,246.33
92,7396,7530,022100,20130515,7570,7400,3.55,7430,293.69
93,7337,7470,022100,20130516,7570,7420,13.89,7540,399.48
94,7229,7360,022100,20130520,7490,7330,22.79,7450,368.6
95,7248,7380,022100,20130521,7430,7330,31.99,7380,309.65
96,7238,7370,022100,20130522,7510,7340,7.34,7380,336.64
97,7130,7260,022100,20130523,7380,7250,2.88,7330,456.87
98,7111,7240,022100,20130524,7320,7150,6.91,7280,388.49
99,7150,7280,022100,20130527,7320,7240,5.43,7240,172.66
100,7130,7260,022100,20130528,7330,7190,16.14,7260,376.98
101,7405,7540,022100,20130529,7540,7260,13.92,7320,853.99
102,7671,7810,022100,20130530,8000,7540,20.01,7540,2592.2
103,7671,7810,022100,20130531,7870,7650,40.99,7870,962.71
104,7523,7660,022100,20130603,8070,7660,33.92,7780,1420.76
105,7415,7550,022100,20130604,7750,7450,22.51,7710,684.95
106,7602,7740,022100,20130605,7900,7560,30.42,7640,1529.07
107,7553,7690,022100,20130607,7870,7570,8.71,7830,810.01
108,8054,8200,022100,20130610,8200,7780,4.03,7820,2554.17
109,8142,8290,022100,20130611,8350,8100,54.8,8280,2751.28
110,8427,8580,022100,20130612,8680,8270,16.73,8310,3522.98
111,8132,8280,022100,20130613,8650,8280,9.14,8620,1921.01
112,8132,8280,022100,20130614,8440,8150,8.52,8400,1517.99
113,8240,8390,022100,20130617,8570,8100,3.82,8280,2326.49
114,8289,8440,022100,20130618,8440,8120,5.15,8330,1415.82
115,8054,8200,022100,20130619,8420,8200,12.54,8400,917.3
116,8014,8160,022100,20130620,8230,7970,17.92,8030,1314.04
117,8181,8330,022100,20130621,8330,7970,23.38,8020,1525.94
118,7828,7970,022100,20130624,8440,7970,45.83,8410,1130.53
119,7209,7340,022100,20130625,8040,7050,15.9,7900,2545.58
120,7425,7560,022100,20130626,7570,7160,18.37,7490,1586.75
121,7582,7720,022100,20130627,7860,7650,15.27,7680,994.78
122,7837,7980,022100,20130628,8040,7750,7.55,7840,1034.53
123,7759,7900,022100,20130701,8030,7870,6.75,7960,570.55
124,7592,7730,022100,20130702,7980,7730,0.69,7930,522.93
125,7582,7720,022100,20130703,7930,7690,10.99,7700,717.74
126,7710,7850,022100,20130704,7860,7630,10.03,7770,613.53
127,8721,8880,022100,20130705,8880,7900,5.07,7960,6883.2
128,8623,8780,022100,20130708,9110,8780,66.96,8970,3562.92
129,8937,9100,022100,20130709,9270,8830,51.39,8860,3820.57
130,9075,9240,022100,20130710,9240,8930,45.57,9100,2141.1
131,9026,9190,022100,20130711,9300,9070,46.08,9230,2400.72
132,9085,9250,022100,20130712,9440,9060,33.97,9190,2504.41
133,8810,8970,022100,20130715,9350,8970,13.14,9300,1869.14
134,9321,9490,022100,20130716,9650,9210,23.37,9220,4138.26
135,9301,9470,022100,20130717,9760,9330,33.18,9530,3497.68
136,9281,9450,022100,20130718,9740,9420,9.68,9650,1911.22
137,9232,9400,022100,20130719,9490,9280,9.18,9450,1759.47
138,8996,9160,022100,20130722,9570,9140,7.58,9450,1633.26
139,9046,9210,022100,20130723,9370,9120,35.14,9130,1816.7
140,9497,9670,022100,20130724,9670,9360,5.78,9380,2593.78
141,9409,9580,022100,20130725,9870,9550,39.66,9720,2505.41
142,9527,9700,022100,20130726,9770,9470,5.46,9620,1679.4
143,9232,9400,022100,20130729,9860,9400,16.79,9830,1698.4
144,9556,9730,022100,20130730,9810,9460,4.58,9490,1849.99
145,9448,9620,022100,20130731,9810,9560,9.44,9750,1405.3
146,9497,9670,022100,20130801,9780,9560,0.74,9640,1159.69
147,9497,9670,022100,20130802,9800,9590,3.96,9760,1053.18
148,9821,10000,022100,20130805,10100,9690,8.69,9690,3439.54
149,9625,9800,022100,20130806,9990,9770,19.63,9970,1687.51
